id;marque;description;prix;note;avis;nombre_acheteurs;stock_disponible;screen_size;os;ram;processor;storage
79;;llano Rafraîchisseur de Portable - Ventilateur pc Portable pour Un Refroidissement Rapide des Ordinateurs Portables de 13-17.3 Pouces | 12 cm Grand Ventilateur Turbo Extra-Fort & 4 Ports USB C&A;109;3;46;1157;154;17.3;;;;
80;;Waxuor Ordinateur Portable de 16 Pouces 8Go DDR et 256 Go SSD Extensible à 1 to Processeur quadricœur Pentium atteignant jusqu'à 2,64 Hz Batterie de 9000 mAh WiFi à Double Bande pc Portable;249;3;9;845;365;16.0;;8.0;;256 Go SSD
81;Apple;"Apple MacBook Air Portable avec Puce M2 : écran Liquid Retina de 13,6 Pouces, 16 Go de RAM, 256 Go de Stockage SSD, Clavier rétroéclairé, caméra FaceTime HD 1080p ; Minuit";1029;4;887;655;361;13.6;;16.0;;256 Go SSD
82;HP;"HP EliteBook 840 G6 14"" Full HD Intel Core i5 8265U 256 Go SSD Disque dur 16 Go Mémoire Windows 11 Pro Webcam Ordinateur portable (reconditionné)";317;4;42;643;210;;Windows 11;;Intel Core i5 8265U;256 Go SSD
83;;"Ordinateur Portable 16 Pouces 12 + 512 Go Win11 Derniers 4 cœurs processeurs N5095 (jusqu'à 2,9 GHz) PC Portable 1920 x 1200 Écran 2K Prise en Charge Prise Double WiFi 2,5"" HDD 1TB SSD Expand-Violet";288;4;36;1149;469;16.0;;12.0;;1024 Go SSD
84;Apple;Apple Portable MacBook Air 13 Pouces avec Puce M3 : écran Liquid Retina 13,6 Pouces, 16 Go de mémoire unifiée, 256 Go de Stockage SSD, Clavier rétroéclairé, caméra FaceTime HD 1080p. Minuit;1079;4;171;915;212;13.0;;16.0;;256 Go SSD
85;HP;Ordinateur Portable 14 Pouces, PC Portable 14 Pouces, HP Elitebook 830 G5, i5-8350U, RAM 16 Go, SSD 513 Go, Clavier AZERTY Français, Laptop Windows 11 Pro, Garantie 2 Ans (Reconditionné);318;3;54;1029;153;14.0;Windows 11;16.0;;
86;HP;"HP 17-cp2002sf 17.3"" 1920 x 1080 Pixels AMD Ryzen 5-7520U 16Go 512Go SSD Windows 11 Home";629;0;0;900;130;;Windows 11;16.0;AMD Ryzen 5;512 Go SSD
87;HP;"HP 250 G9 ordinateur portable, RAM 16 Go ddr4, SSD 512 Go, écran Full HD 15,6"", processeur 4 Core N6000, clavier rétroéclairé, wi-fi, 3 usb, Win 11 pro, libre office, prêt à l'emploi, gar. eng";459;4;23;1314;194;;;16.0;;512 Go SSD
88;ACEMAGIC;ACEMAGIC PC Portable 17,3 Pouces Ordinateur Portable Full HD,16 Go Ram DDR4 512 Go SSD 4 cœurs ln-tel Alder Lake N-97, jusqu'à 3,6 GHz,WiFi,3*USB3.2,BT5.0,HDMI,Laptop Gris;499;4;208;966;78;17.3;;16.0;;512 Go SSD
89;Asus;Asus Vivobook 17X M3704YA-AU140W 17.3 Pouces FHD PC Portable (Processeur AMD Ryzen 5 7430U 4.3GHz, 16GB DDR4, 1TB SSD NVMe, AMD Radeon Graphics, Windows 11 Home) - Clavier AZERTY;799;4;3;790;311;17.3;Windows 11;;AMD Ryzen 5 7430U;1024 Go SSD
90;Lenovo;Lenovo (17,3 Zoll IPS FHD Ordinateur Portable (Intel Core i3 1315U, 6 cœurs, 4.50 GHz, 24 Go DDR4, 1 to SSD, Intel® Iris® XE, HDMI, Cam, BT, WLAN, Windows 11, Clavier AZERTY [français]) – 7482;599;4;15;953;318;;Windows 11;24.0;Intel Core i3 1315U;
91;MSI;"MSI Modern 15 F13MG-002FR : Intel Core i5 1335U - 16GB DDR4 (2x8GB)- SSD 512GB - Intel Iris XE Graphics - 15,6"" Full HD - Windows 11 Famille - Clavier Azerty retroéclairé";699;5;3;893;157;;Windows 11;;Intel Core i5 1335U;512 Go SSD
92;;Teamgee Moniteur Portable- Deuxième écran 14'' Full HD pour Ordinateur Portable - Extension d'écran pour Ordinateur Portable 13.3''-17'' Mac Windows Chrome - USB-C & HDMI;138;4;3;106;335;;;;;
93;;Morostron Ordinateur Portable de 16 Pouces 8Go DDR et 256 Go SSD Extensible à 1 to Processeur quadricœur Pentium atteignant jusqu'à 2,64 Hz Batterie de 9000 mAh WiFi à Double Bande;249;3;44;555;199;16.0;;8.0;;256 Go SSD
94;;"KEFEYA Moniteur Portable 15.6"" Convient à Toutes Les Tailles Laptop attaché HUB H5-T Ecran Portable avec 80 NTSC FHD 1080P HDMI/USB-C Screen Extender Plug and Play Display pour Mac Windows Chrome";329;4;701;956;491;;;;;
95;;ICZI HDMI sans Fil,Transmetteur et Récepteur HDMI sans Fil, Diffuser de la Vidéo et de l'audio Depuis Un Ordinateur Portable/PC vers Projecteur/Moniteur, Portée de 50M, 2,4G/5G,Full HD 1080P;69;5;2;211;356;;;;;
96;;"Monovate Ordinateur Portable 2 en 1, Windows 11, 15,6"" IPS Tactile, AMD Ryzen 3 3200U, 16Go DDR4, 512Go SSD, AMD Radeon Graphics, RJ45+TypeC+Mini-HDMI";329;4;11;893;309;;Windows 11;16.0;AMD Ryzen 3 3200U;512 Go SSD
97;Apple;"Apple MacBook Pro Ordinateur Portable avec Puce M4 Max, CPU 14 cœurs, GPU 32 cœurs : Conçu pour Apple Intelligence, écran Liquid Retina XDR 14,2″, 36 Go de mémoire unifiée, 1To SSD ; Noir sidéral";3799;4;26;928;475;;;;;1024 Go SSD
99;Dell;"Dell G15 5530 Ordinateur Portable Gaming 15.6"" FHD 165Hz, Processeur Intel Core i7-13650HX, NVIDIA GeForce RTX 4060, RAM 16Go, SSD 1To, Windows 11 Home, Clavier rétroéclairé Français AZERTY";1399;4;56;815;307;;Windows 11;16.0;Intel Core i7-13650HX;1024 Go SSD
100;Asus;Asus Vivobook 14 S1404GA-NK058W 14.0 Pouces FHD PC Portable (Processeur Intel Core i3-N305 3.8 GHz, 8GB DDR4, 256G UFS 2.1, Intel UHD Graphics, Windows 11 Home) - Clavier AZERTY;449;3;41;1196;198;14.0;Windows 11;;Intel Core i3;
101;;KUMNOSAL Ordinateur Portable Win11 Pro Celeron J4125 PC Portable, Laptop écran IPS FHD 14,1 Pouces, (8 Go LPDDR4 RAM 256 Go SSD ROM), PC Portable Convertible 180°, Mini HDMI protège Clavier français;199;4;35;633;69;14.1;;8.0;Celeron J4125;256 Go SSD
102;ACEMAGIC;ACEMAGIC 2025 Ordinateur Portable in-tel N150 3,6Ghz 16Go RAM DDR4 2666MHz-3200 MHz 512 Go SSD Up to 2TB PC 15,6 Pouces Boîtier en métal 3*USB 3.2, BT 5.0,Type C,Boîtier en métal;306;4;32;878;253;15.6;;16.0;;512 Go SSD
103;ACER;"ACER Aspire 3 A315-44P-R75B Ordinateur Portable 15,6"" FHD LCD - AMD Ryzen™ 5 5500U - 16 Go RAM DDR4-512Go PCIe NVMe SSD- Windows 11- Clavier AZERTY (Français), Laptop Gris, 15""";469;4;5;989;55;;Windows 11;16.0;;512 Go SSD
104;;"bvate Ordinateur Portable,256Go Soutien Extension SSD 1To 14"" Win11 Celeron N4020 2.4G+5G WiFi Mini HDMI & AZERTY Membrane du Clavier-Argent";259;4;77;814;20;;;;Celeron N4020;1024 Go SSD
105;Dell;"Dell Latitude 7480 Ordinateur portable 14"" Full HD Intel Core i5-7200U jusqu'à 3,10 GHz 8 Go 256 Go SSD avec Windows 11 Pro et logiciel antivirus HDMI inclus";244;4;11;1003;436;;Windows 11;8.0;Intel Core i5-7200U;256 Go SSD
106;MSI;MSI Katana 15 B13VGK-1890FR : Intel Core i7 13620H - 32GB DDR5 - SSD 1TB - Nvidia RTX4070 8GB TGP:105W - 15,6' Full HD 144Hz - Windows 11 Famille;1599;4;111;1070;115;;Windows 11;;Intel Core i7 13620H;1024 Go SSD
107;;"Ordinateur Portable 15,6"" IPS avec 12th N95 Processeur, PC Portable 16Go RAM 512Go SSD, 38Wh Batterie, PC Ordinateur Windows, WiFi, BT, USB3.0*2, Laptop Déverrouillage par empreinte digitale";299;4;30;843;269;;;16.0;;512 Go SSD
108;Asus;Asus TUF Gaming F15-TUF507ZI4-LP019W 15.6 FHD 144Hz PC Portable (Processeur Intel Core i7-12700H 4.7Ghz, 16GB DDR4 3200MHz, 512GB SSD, NVIDIA GeForce RTX 4070 TGP140W, Windows 11 Home) Clavier AZERTY;1499;4;16;903;1;;Windows 11;;Intel Core i7-12700H;512 Go SSD
109;Asus;Asus Vivobook 17X Pro N3704VA-AU140W 17.3 Pouces FHD PC Portable (Intel Core i9-13900H 5.4 Ghz, 16Go DDR5, 1To SSD, Intel Iris X Graphics, Windows 11 Home) - Clavier AZERTY - Silver;1299;4;7;489;197;17.3;Windows 11;16.0;Intel Core i9-13900H;1024 Go SSD
110;;FUNYET Ordinateur Portable 15.6 Pouces Celeron N4000,Windows 11,Laptop 8GB RAM LPDDR4 512GB SSD,Convertible 180°Portable Laptop IPS FHD Display 1920 * 1080, BT5.0,USB3.0, HDMI, TF Card Slot,WiFi;239;4;21;1034;484;15.6;Windows 11;;Celeron N4000;512 Go SSD
111;;"15,6"" PC Portable, Celeron N5095 CPU, Win11 Ordinateur Portable 24Go RAM 512Go SSD, Clavier Rétro-éclairé, Déverrouillage Empreinte, 180°Opening and Closing 1080P Écran Laptop, Mini-HDMI+USB3.0";299;4;7;803;328;;;24.0;Celeron N5095;512 Go SSD
112;;LONGEVINCE Ordinateur Portable 14 Pouces, 8 Go de RAM, DDR4, Ultrabook, IPS 1920 x 1080, Celeron N4120,sous Windows11, avec Protection de Clavier AZERTY en français (Or Rose, 8GB+256G SSD);329;5;2;814;185;14.0;;8.0;Celeron N4120;
113;;Morostron Ordinateur Portable de 16 Pouces 8Go DDR et 256 Go SSD Extensible à 1 to Processeur quadricœur Pentium atteignant jusqu'à 2,64 Hz Batterie de 9000 mAh WiFi à Double Bande;249;3;44;159;444;16.0;;8.0;;256 Go SSD
