id;marque;description;prix;note;avis;nombre_acheteurs;stock_disponible;screen_size;os;ram;processor;storage
152;Lenovo;Lenovo Chromebook Plus IdeaPad Slim 3 14IAN8 avec Google AI - Ordinateur Portable 14'' Full HD (Intel Core i3-N305, RAM 8 Go, eMMC 128 Go, Intel UHD Graphics, ChromeOS) Clavier AZERTY FR - Gris;299;4;271;1089;323;;Chrome OS;8.0;Intel Core i3;128 Go eMMC
153;;GREFIC Ordinateur Portable 15,6 Pouces, PC Portable Win11, 16Go de RAM, 512Go SSD, Processeur Alder Lake-N95, Écran 1080P IPS, Clavier Rétroéclairé, Webcam, WiFi 2.4+5G;299;0;0;903;3;15.6;;16.0;;512 Go SSD
154;ACEMAGIC;ACEMAGIC Ordinateur Portable 17,3 Pouces PC Portable 16 Go Ram DDR4 512 Go SSD 4 cœurs ln-tel Alder Lake N-97,Capacité de 6000Mah,3*USB3.2,BT5.0,HDMI,Laptop;429;4;598;1151;45;17.3;;16.0;;512 Go SSD
155;ACEMAGIC;ACEMAGIC 2025 Ordinateur Portable15.6 Pouces Nouveau Processeur in-tel N150 16Go Ram 512Go SSD Étendre à 2 to DDR4 Boîtier Métallique,BT5.0,Type C,PC Portable Bureau;339;4;44;141;219;15.6;;16.0;;512 Go SSD
156;;"Ordinateur portable, Core i9-9980H Geforce GTX1650, écran 16"" 1080P, 32 Go de RAM DDR4, disque SSD 1 to, Avec un PC portable léger équipé de WiFi5, BT4.0, USB 3.0×3, USB 2.0×2, USB C × 1, Win11 Pro";1399;0;0;1355;460;;;32.0;;
157;Lenovo;Lenovo ThinkPad X270 | 1366 x 768 HD | Intel Core i5-6300U | Windows 11 Pro | Ordinateur portable professionnel reconditionné;204;4;174;651;140;;Windows 11;;Intel Core i5-6300U;
158;BMAX;"BMAX Ordinateur Portable 16Go DDR4 512Go SSD PC Portable, N95 (Jusqu'à 3,40 GHz) 15,6"" IPS Écran X15 Pro Laptop 180° Flip 1080P FHD, BT5.0, 2.4/5G WiF, HDMI, USB3.0x3 Film du Clavier Français";329;4;537;490;321;;;16.0;;512 Go SSD
159;;FUNYET Ordinateur Portable, Windows 11, Celeron N4000 Ordinateur Portable, 8 Go RAM LPDDR4 256 Go SSD, Convertible 180°, Notebook IPS FHD 1920 x 1080, BT5.0, USB3.0, HDMI, TF Card Slot, WiFi;269;4;15;398;185;;Windows 11;8.0;Celeron N4000;256 Go SSD
160;MSI;MSI Modern 15 B12MO-868FR : Intel Core i5 1235U - 16GB LPDDR4 - SSD 512GB - Intel UHD Graphics - 15,6' Full HD - Windows 11 Famille - Clavier retroeclairé;549;3;53;420;462;;Windows 11;;Intel Core i5 1235U;512 Go SSD
161;ASUS;ASUS TUF Gaming A15-TUF506NF-HN007W 15.6-inch FHD 144Hz PC Portable (AMD Ryzen 5 7535HS Processeur 3.3GHz, 16GB DDR5 RAM, 512GB PCIe 4.0 NVMe SSD, NVIDIA GeForce RTX 2050 GPU 4Go) – Clavier AZERTY.;799;3;38;805;252;;;;AMD Ryzen 5 7535HS;512 Go SSD
162;Dell;"Dell Inspiron 16 5640 Ordinateur Portable 16"" FHD+, Processeur Intel Core i5 1334U, Graphique Intel Iris XE, RAM 16Go, SSD 512Go, Windows 11 Home, Clavier rétroéclairé AZERTY Français, Ice Blue";699;4;6;1266;377;;Windows 11;16.0;Intel Core i5 1334U;512 Go SSD
163;Blackview;"Blackview Ordinateur Portable Acebook 12 Intel Core i5-1030NG7, 16.1"" FHD, 16Go RAM +512Go ROM SSD/2TB (fino a 3.5Ghz) Win 11 Pro PC Portable, WIFI6, USB 3.0×2, HDMI 2.0, Clavier QWERTY, TypeC Laptop";469;4;17;1011;126;;;16.0;Intel Core i5-1030NG;512 Go SSD
164;hp;hp Portable 17-cn2139nf Intel Core i7-1255U 16GO DDR4 512GO Intel Iris XE 17,3 FHD IPS 300 nits WIN11H 9S941EA;677;5;1;1160;500;;;16.0;Intel Core i7-1255U;512 Go SSD
165;Dell;Dell Latitude 5510 Ordinateur Portable, 15,6 Pouces FHD, Intel Core i5-10210U, 16 Go de RAM, 512 Go de SSD, Clavier Américain, Win 10 Pro (Reconditionné);379;0;0;1267;121;15.6;;16.0;Intel Core i5-10210U;512 Go SSD
166;Asus;Asus Vivobook 14 S1404VA-NK665W 14 Pouces FHD PC Portable (Processeur Intel Core i5-1335U 4.6 GHz, 16GB DDR4, 1TB SSD NVMe, Intel Iris X Graphics, Windows 11 Home) - Clavier AZERTY;799;0;0;1353;105;14.0;Windows 11;;Intel Core i5-1335U;1024 Go SSD
167;HP;HP Ordinateur Portable Pavilion 16-ag0011nf/16 FHD 2K/R5-8540U/16Go/512SSD/W11;629;0;0;1463;165;;;16.0;;
168;Lenovo;Lenovo ThinkPad T460 | i5-6300U 2,4 GHz, 16 Go de RAM, SSD 256 Go, Windows 10 Pro. (Reconditionné);211;3;232;354;9;;Windows 10;16.0;;256 Go SSD
170;LG;"LG 16Z90S-G.AA55F - PC Portable 16"" 1199g, écran IPS QHD+ 16:10, Plateforme Intel® Evo™ Ultra 5 125H, RAM 16Go, SSD 512Go NVMe, Intel Iris XE, Thunderbolt™ 4, Windows 11, Clavier AZERTY, Noir";1225;3;43;664;229;;Windows 11;16.0;;512 Go SSD
171;HP;HP EliteBook 830 G5 / Core i5 8250U 1,6 GHz / 8 Go de RAM / 256 Go SSD WiFi/BT / 13.3 FHD (1920 x 1080) / Backlit kb/Win 11 Pro 64 bits (reconditionné) (AZERTY - français);265;5;1;162;492;;;8.0;;256 Go SSD
172;AOC;AOCWEI Ordinateur Portable 4 cœurs Win 11 14'' Celeron N5095 (jusqu'à 2,9 GHz) 8+256Go SSD 1 TB Expand 1920x1200 PC Portable Gamer, Laptop avec Ventilateur 5G WiFi BT4.2 - Bleu;254;4;368;122;270;;;8.0;Celeron N5095;256 Go SSD
173;hp;"hp PC Portable 15s-fq5025nf - 15.6"" - Intel Core i5-1235U - 16 Go RAM - 512 Go SSD - Win 11 Home - Anglais/Français";529;3;3;1424;377;;;16.0;Intel Core i5-1235U;512 Go SSD
174;Lenovo;"Lenovo ThinkPad T490s Touchscreen Processeur Intel i7 4x1,8 GHz, mémoire 16 Go, SSD 1024 Go, écran 14"", Full HD 1920 x 1080 IPS, Windows 11 Pro Train (Reconditionné)";499;4;18;1050;70;;Windows 11;16.0;Intel i7;1024 Go SSD
175;Lenovo;Ordinateur Portable 14 Pouces, PC Portable 14 Pouces, Lenovo ThinkPad T470, i5-7300U, RAM 16 Go, SSD 512 Go, Laptop Windows 11 Pro, clavier AZERTY Français, Webcam, Garantie 2 Ans (Reconditionné);337;4;29;879;225;14.0;Windows 11;16.0;;512 Go SSD
176;Dell;"Dell Latitude 5410 Ordinateur portable, écran 14"" Full HD, processeur Intel Core i5-10210U, RAM 16 Go DDR4, SSD 512 Go M2 NVMe, Webcam, Windows 11 Pro + Pack Office (reconditionné)";429;5;4;1144;414;;Windows 11;16.0;Intel Core i5-10210U;512 Go SSD
177;HP;"HP EliteBook 840 G6 14"" 1920 x 1080 Full HD Intel Core i5 8365U Disque dur SSD 512 Go Mémoire 16 Go Windows 11 Pro UMTS LTE Webcam Ordinateur portable (reconditionné)";335;3;162;182;393;;Windows 11;;Intel Core i5 8365U;512 Go SSD
178;;"Wexultor Ordinateur Portable 2 en 1, 14,1"", PC Portable 16Go LPDDR5 512Go SSD, Windows 11 Laptop Alder Lake-N100, avec écran Tactile Amovible, Tablette PC, Type C + BT 5.2 + WiFi 6";399;4;8;182;225;;Windows 11;16.0;;512 Go SSD
179;;Ordinateur Portable 16 Pouces Core i3-1000NG4 (jusqu'à 3,2 GHz),16+512Go SSD Soutien Extension 1TB ,PC Portable Win11 Avec Double WIFI 1920x1200 BT4.2 Souris sans Fil&AZERTY Clavier Couverture-Argent;359;4;57;263;444;16.0;;16.0;;512 Go SSD
180;ACER;ACER Chromebook 515 CB515-2H-30U9, Ordinateur Portable 15,6'' Full HD IPS, PC Portable (Intel Core i3-1215U, RAM 8Go, 128Go UFS, Intel UHD Graphics, Chrome OS) Laptop Gris, Clavier AZERTY;299;4;368;670;43;;Chrome OS;8.0;Intel Core i3-1215U;
