id;marque;processeur;taille_ecran;disque_dur;prix;note;avis;nombre_acheteurs;stock_disponible;short_processeur
82;Apple;Apple M2;;;1029.0;4.0;888;751;474;Apple
83;Waxuor;Celeron;16.0;256.0;249.99;3.0;9;828;314;Celeron
84;Ekonavi;Celeron;;;289.99;5.0;4;389;148;Celeron
85;HP;AMD Ryzen 7;;512.0;649.0;4.0;14;764;302;Ryzen
86;hp;Core i5;;512.0;579.0;3.0;13;1149;61;Inconnu
87;MSI;AMD Ryzen 7;;512.0;599.0;4.0;46;552;401;Ryzen
88;ASUS;Ryzen 7;17.0;;799.99;4.0;3;614;322;Ryzen
89;Auusda;Celeron;;;459.0;4.0;50;1313;408;Celeron
90;bvate;Celeron N4020;14.0;256.0;216.09;4.0;77;424;73;Celeron
91;Samsung;;;512.0;819.9;4.0;19;882;142;
92;Morostron;Celeron;16.0;256.0;249.99;3.0;44;236;494;Celeron
93;acer;Core i3 3,06 GHz;;512.0;449.0;4.0;298;1236;37;Inconnu
94;Greed;Intel Core i7;;;739.9;3.0;705;1172;209;Intel
95;AOC;Mobile CPU;;512.0;289.99;4.0;186;650;431;Inconnu
96;AOC;Mobile CPU;;512.0;289.99;4.0;111;1036;29;Inconnu
97;HP;Core i5;;512.0;699.0;4.0;45;328;353;Inconnu
98;Monovate;Core i7-1195G7;;512.0;499.99;4.0;14;1235;177;Inconnu
99;ASUS;Ryzen 7;17.0;512.0;979.99;4.0;22;889;328;Ryzen
100;HP;Celeron;;256.0;469.99;4.0;23;640;106;Celeron
101;Lenovo;Ryzen 5;14.0;512.0;749.99;3.0;14;435;48;Ryzen
102;HP;Intel Core 7;;;999.0;4.0;51;155;423;Intel
103;ACEMAGIC;Celeron;;512.0;499.99;4.0;77;772;471;Celeron
104;MSI;Core i5 2,8 GHz;;512.0;699.0;5.0;3;493;81;Inconnu
105;ASUS;Intel Core I7 12700H;15.0;512.0;1499.99;4.0;16;1450;498;Intel
106;HP;Intel Core i5;;512.0;;3.0;54;1469;242;Intel
107;MSI;;;1000.0;1599.0;4.0;112;1494;220;
108;HP;Celeron;;500.0;386.9;4.0;303;160;372;Celeron
109;acer;Core i5 2,8 GHz;;512.0;799.0;3.0;7;421;199;Inconnu
110;Victus;Core i5;;512.0;899.0;4.0;167;127;379;Inconnu
111;Monovate;Ryzen 3 3200U;;512.0;329.99;4.0;12;673;298;Ryzen
112;ACEMAGIC;Core Solo;;512.0;293.99;4.0;91;1482;352;Inconnu
113;MSI;Core i7 2,7 GHz;;;1499.0;3.0;14;1091;366;Inconnu
114;HP;Ryzen 5;;512.0;549.0;0.0;0;910;275;Ryzen
115;ASUS;Ryzen 7;14.0;512.0;1019.99;4.0;11;1175;278;Ryzen
116;Dell;Core i5-8350U;14.0;512.0;;5.0;1;243;65;Inconnu
117;ASUS;Ryzen 9;16.0;;1274.99;4.0;7;395;493;Ryzen
118;ASUS;Intel Core i9;;;1299.99;4.0;7;1147;264;Intel
119;HP;Ryzen 3;;512.0;599.0;4.0;99;247;345;Ryzen
120;Lenovo;;;;209.9;4.0;303;497;434;
121;Dell;Snapdragon;14.0;512.0;799.0;4.0;16;244;131;Snapdragon
122;UMIDIGI;;11.0;;219.99;4.0;313;1028;354;
123;AOCWEI;Celeron N;14.0;256.0;230.49;4.0;368;107;378;Celeron
124;FUNYET;Celeron;16.0;512.0;309.99;3.0;693;151;326;Celeron
125;ASUS;Celeron;14.0;128.0;329.99;4.0;160;338;498;Celeron
126;ACEMAGIC;AMD Ryzen 7 5700U;;512.0;499.99;4.0;655;1137;10;Ryzen
127;ASUS;Core i5;15.0;512.0;599.0;4.0;55;368;59;Inconnu
128;acer;Core i9;;512.0;1299.0;4.0;264;1132;265;Inconnu
130;MAXLEGEN;Celeron;;256.0;289.99;4.0;191;580;431;Celeron
131;AOCWEI;Celeron N;16.0;512.0;288.99;4.0;36;635;220;Celeron
132;Apple;Apple M4;14.0;;1812.0;4.0;27;1333;309;Apple
133;NIAKUN;AMD Ryzen 7 5700U;15.6;;659.99;4.0;72;461;382;Ryzen
134;ASUS;Ryzen 5;14.0;512.0;499.99;3.0;41;1006;483;Ryzen
135;ASUS;Celeron;15.0;128.0;329.99;3.0;32;747;267;Celeron
136;HP;Ryzen 3;;256.0;429.0;4.0;75;617;387;Ryzen
137;Auusda;Celeron;;;459.0;4.0;50;747;132;Celeron
139;Morostron;Celeron;16.0;256.0;249.99;3.0;44;962;113;Celeron
140;Apple;Apple M3;;;1079.0;4.0;172;767;61;Apple
141;MAXLEGEN;Pentium Other;;512.0;379.99;4.0;150;852;469;Pentium
142;Apple;Apple M2;;;1029.0;4.0;888;459;156;Apple
143;Waxuor;Celeron;16.0;256.0;249.99;3.0;9;1038;377;Celeron
144;Ekonavi;Celeron;;;289.99;5.0;4;913;414;Celeron
145;HP;AMD Ryzen 7;;512.0;649.0;4.0;14;1350;440;Ryzen
146;hp;Core i5;;512.0;579.0;3.0;13;1111;455;Inconnu
147;MSI;AMD Ryzen 7;;512.0;599.0;4.0;46;1405;457;Ryzen
148;ASUS;Ryzen 7;17.0;;799.99;4.0;3;791;419;Ryzen
149;Auusda;Celeron;;;459.0;4.0;50;1042;224;Celeron
150;bvate;Celeron N4020;14.0;256.0;216.09;4.0;77;1335;362;Celeron
151;Monovate;Core i7-1195G7;;512.0;499.99;4.0;14;649;138;Inconnu
152;acer;Core i3 3,06 GHz;;512.0;449.0;4.0;298;540;105;Inconnu
153;Greed;Intel Core i7;;;739.9;3.0;705;654;114;Intel
154;AOC;Mobile CPU;;512.0;289.99;4.0;186;151;254;Inconnu
156;Samsung;;;512.0;819.9;4.0;19;1310;368;
157;AOC;Mobile CPU;;512.0;289.99;4.0;111;572;60;Inconnu
158;HP;Core i5;;512.0;699.0;4.0;45;229;200;Inconnu
159;ASUS;Ryzen 7;17.0;512.0;979.99;4.0;22;731;317;Ryzen
160;HP;Celeron;;256.0;469.99;4.0;23;1468;486;Celeron
161;Lenovo;Ryzen 5;14.0;512.0;749.99;3.0;14;844;475;Ryzen
162;HP;Intel Core 7;;;999.0;4.0;51;1119;420;Intel
163;ACEMAGIC;Celeron;;512.0;499.99;4.0;77;159;172;Celeron
164;MSI;Core i5 2,8 GHz;;512.0;699.0;5.0;3;142;102;Inconnu
165;HP;Intel Core i5;;512.0;;3.0;54;135;496;Intel
166;ASUS;Intel Core I7 12700H;15.0;512.0;1499.99;4.0;16;148;170;Intel
167;MSI;;;1000.0;1599.0;4.0;112;235;366;
168;HP;Celeron;;500.0;386.9;4.0;303;632;316;Celeron
169;acer;Core i5 2,8 GHz;;512.0;799.0;3.0;7;955;482;Inconnu
170;Victus;Core i5;;512.0;899.0;4.0;167;1379;461;Inconnu
171;Monovate;Ryzen 3 3200U;;512.0;329.99;4.0;12;1127;359;Ryzen
172;ACEMAGIC;Core Solo;;512.0;293.99;4.0;91;1399;412;Inconnu
173;MSI;Core i7 2,7 GHz;;;1499.0;3.0;14;712;483;Inconnu
174;HP;Ryzen 5;;512.0;549.0;0.0;0;666;176;Ryzen
175;ASUS;Ryzen 7;14.0;512.0;1019.99;4.0;11;1093;436;Ryzen
176;Dell;Core i5-8350U;14.0;512.0;;5.0;1;564;149;Inconnu
177;ASUS;Ryzen 9;16.0;;1274.99;4.0;7;845;441;Ryzen
178;ASUS;Intel Core i9;;;1299.99;4.0;7;1033;253;Intel
179;HP;Ryzen 3;;512.0;599.0;4.0;99;1128;444;Ryzen
180;Lenovo;;;;209.9;4.0;303;1041;461;
